newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text_7.stopped,text.started,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,text.stopped,Roll Number,Name,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,,,,,,,,44.837603399995714,44.837603399995714,44.837603399995714,44.837603399995714,44.837603399995714,p,0.026040300028398633,44.86948799993843,44.883441200014204,44.883441200014204,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
13,0,13,0,,,,,,,,,,,,,,,,,45.28939939988777,45.28939939988777,45.28939939988777,45.28939939988777,45.28939939988777,q,0.06917849997989833,45.362951799994335,45.37663650000468,45.37663650000468,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
14,0,14,0,,,,,,,,,,,,,,,,,45.78192780003883,45.78192780003883,45.78192780003883,45.78192780003883,45.78192780003883,p,0.40955390012823045,46.195895799901336,46.209895899984986,46.209895899984986,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
15,0,15,0,,,,,,,,,,,,,,,,,46.615232300013304,46.615232300013304,46.615232300013304,46.615232300013304,46.615232300013304,o,0.07603440014645457,46.696100499946624,46.709886600030586,46.709886600030586,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
16,0,16,0,,,,,,,,,,,,,,,,,47.1152657000348,47.1152657000348,47.1152657000348,47.1152657000348,47.1152657000348,w,0.20133440010249615,47.321149699855596,47.3351634000428,47.3351634000428,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
17,0,17,0,,,,,,,,,,,,,,,,,47.740310800028965,47.740310800028965,47.740310800028965,47.740310800028965,47.740310800028965,p,0.23662680014967918,47.987734199967235,,48.0015900998842,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
18,0,18,0,,,,,,,,,,,,,,,,,48.40726609993726,48.40726609993726,48.40726609993726,48.40726609993726,48.40726609993726,q,0.06458390015177429,48.4807667999994,48.49463309999555,48.49463309999555,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,48.90020109992474,48.90020109992474,48.90020109992474,48.90020109992474,48.90020109992474,o,0.04347230005078018,48.95288469991647,48.96700549987145,48.96700549987145,49.37034589983523,49.37034589983523,49.37034589983523,89,space,1.5980482001323253,50.98089789994992,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
20,0,20,0,0,0,0,0,,,,,,,,,51.385341099929065,51.385341099929065,space,0.5721588002052158,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
20,0,20,0,,,,,,,,,,,,,,,,,51.96968359989114,51.96968359989114,51.96968359989114,51.96968359989114,51.96968359989114,q,0.4362151001114398,52.41127229994163,52.425034599844366,52.425034599844366,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
21,0,21,0,,,,,,,,,,,,,,,,,52.830424200044945,52.830424200044945,52.830424200044945,52.830424200044945,52.830424200044945,o,0.027731100097298622,52.86260410002433,52.87652819999494,52.87652819999494,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
22,0,22,0,,,,,,,,,,,,,,,,,53.28192589990795,53.28192589990795,53.28192589990795,53.28192589990795,53.28192589990795,p,0.06225270009599626,53.3486931999214,53.362523399991915,53.362523399991915,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
23,0,23,0,,,,,,,,,,,,,,,,,53.768103800015524,53.768103800015524,53.768103800015524,53.768103800015524,53.768103800015524,w,0.06304540019482374,53.84189339983277,,53.856033199932426,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
24,0,24,0,,,,,,,,,,,,,,,,,54.261159599991515,54.261159599991515,54.261159599991515,54.261159599991515,54.261159599991515,o,0.02646760013885796,54.29304019990377,54.307158399838954,54.307158399838954,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
25,0,25,0,,,,,,,,,,,,,,,,,54.71239020000212,54.71239020000212,54.71239020000212,54.71239020000212,54.71239020000212,q,0.019236600026488304,54.73766850004904,54.7515551999677,54.7515551999677,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
26,0,26,0,,,,,,,,,,,,,,,,,55.15693109994754,55.15693109994754,55.15693109994754,55.15693109994754,55.15693109994754,p,0.009707600111141801,55.175201299833134,55.18903540004976,55.18903540004976,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
27,0,27,0,,,,,,,,,,,,,,,,,55.59438939997926,55.59438939997926,55.59438939997926,55.59438939997926,55.59438939997926,w,0.01112280017696321,55.61269330000505,55.62644220003858,55.62644220003858,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
28,0,28,0,,,,,,,,,,,,,,,,,56.03190179984085,56.03190179984085,56.03190179984085,56.03190179984085,56.03190179984085,o,0.03533470002003014,56.07784469984472,56.09176159999333,56.09176159999333,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
29,0,29,0,,,,,,,,,,,,,,,,,56.49754779995419,56.49754779995419,56.49754779995419,56.49754779995419,56.49754779995419,q,0.034489599987864494,56.5363796998281,56.550113199977204,56.550113199977204,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
30,0,30,0,,,,,,,,,,,,,,,,,56.956009599845856,56.956009599845856,56.956009599845856,56.956009599845856,56.956009599845856,p,0.03246280015446246,56.99439450004138,57.00837039994076,57.00837039994076,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
31,0,31,0,,,,,,,,,,,,,,,,,57.41395660000853,57.41395660000853,57.41395660000853,57.41395660000853,57.41395660000853,o,0.4507967000827193,57.86944889998995,57.883815499953926,57.883815499953926,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
32,0,32,0,,,,,,,,,,,,,,,,,58.28924659988843,58.28924659988843,58.28924659988843,58.28924659988843,58.28924659988843,q,0.04115160019136965,58.3348898999393,58.34889129991643,58.34889129991643,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
33,0,33,0,,,,,,,,,,,,,,,,,58.754077499965206,58.754077499965206,58.754077499965206,58.754077499965206,58.754077499965206,w,0.40963010024279356,59.168131599901244,59.18224749993533,59.18224749993533,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
34,0,34,0,,,,,,,,,,,,,,,,,59.58769760001451,59.58769760001451,59.58769760001451,59.58769760001451,59.58769760001451,o,0.022262300131842494,59.6194670998957,,59.63366149994545,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
35,0,35,0,,,,,,,,,,,,,,,,,60.03908220003359,60.03908220003359,60.03908220003359,60.03908220003359,60.03908220003359,q,0.09174090018495917,60.14048850000836,,60.15451499982737,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
36,0,36,0,,,,,,,,,,,,,,,,,60.559807899873704,60.559807899873704,60.559807899873704,60.559807899873704,60.559807899873704,w,0.3872886002063751,60.9536047000438,60.966725199948996,60.966725199948996,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
37,0,37,0,,,,,,,,,,,,,,,,,61.37220450001769,61.37220450001769,61.37220450001769,61.37220450001769,61.37220450001769,o,0.001077200286090374,61.38332979986444,61.397255999967456,61.397255999967456,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
38,0,38,0,,,,,,,,,,,,,,,,,61.803058499936014,61.803058499936014,61.803058499936014,61.803058499936014,61.803058499936014,q,0.0906644999049604,61.90430839988403,61.9181381999515,61.9181381999515,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
39,0,39,0,,,,,0,0,0,0,,,,,,,,,62.32343370001763,62.32343370001763,62.32343370001763,62.32343370001763,62.32343370001763,p,0.05740620009601116,62.390340300044045,62.404676700010896,62.404676700010896,62.807469999883324,62.807469999883324,62.807469999883324,67,space,2.394116200041026,65.20993239991367,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
40,0,40,0,0,0,0,0,,,,,,,,,65.61332799983211,65.61332799983211,space,0.5320266999769956,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
40,0,40,0,,,,,,,,,,,,,,,,,66.15668389992788,66.15668389992788,66.15668389992788,66.15668389992788,66.15668389992788,q,0.5453254000749439,66.70987010002136,66.72395129990764,66.72395129990764,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
41,0,41,0,,,,,,,,,,,,,,,,,67.12945699994452,67.12945699994452,67.12945699994452,67.12945699994452,67.12945699994452,o,0.06589199998416007,67.20281099993736,67.21681689983234,67.21681689983234,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
42,0,42,0,,,,,,,,,,,,,,,,,67.62204299983568,67.62204299983568,67.62204299983568,67.62204299983568,67.62204299983568,w,0.2801612000912428,67.91109209996648,67.92519930005074,67.92519930005074,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
43,0,43,0,,,,,,,,,,,,,,,,,68.33074949984439,68.33074949984439,68.33074949984439,68.33074949984439,68.33074949984439,p,0.07487150025554001,68.41156879998744,68.42514669988304,68.42514669988304,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
44,0,44,0,,,,,,,,,,,,,,,,,68.83083519991487,68.83083519991487,68.83083519991487,68.83083519991487,68.83083519991487,p,0.047085199970752,68.88329200004227,68.89727419987321,68.89727419987321,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
45,0,45,0,,,,,,,,,,,,,,,,,69.30284889996983,69.30284889996983,69.30284889996983,69.30284889996983,69.30284889996983,p,0.0845934001263231,69.39715910004452,,69.41127089993097,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
46,0,46,0,,,,,,,,,,,,,,,,,69.81672300002538,69.81672300002538,69.81672300002538,69.81672300002538,69.81672300002538,w,0.07397740008309484,69.89728739997372,69.91136609995738,69.91136609995738,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
47,0,47,0,,,,,,,,,,,,,,,,,70.31653800001368,70.31653800001368,70.31653800001368,70.31653800001368,70.31653800001368,w,0.012178000062704086,70.33475529984571,70.34858220000751,70.34858220000751,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
48,0,48,0,,,,,,,,,,,,,,,,,70.75405319989659,70.75405319989659,70.75405319989659,70.75405319989659,70.75405319989659,w,0.060814900090917945,70.82090799999423,70.83500969992019,70.83500969992019,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
49,0,49,0,,,,,,,,,,,,,,,,,71.24012820003554,71.24012820003554,71.24012820003554,71.24012820003554,71.24012820003554,o,0.042157200165092945,71.29364009993151,71.30705760000274,71.30705760000274,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
50,0,50,0,,,,,,,,,,,,,,,,,71.71255369996652,71.71255369996652,71.71255369996652,71.71255369996652,71.71255369996652,o,0.10444700019434094,71.82777630002238,71.84176620002836,71.84176620002836,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
51,0,51,0,,,,,,,,,,,,,,,,,72.24773669987917,72.24773669987917,72.24773669987917,72.24773669987917,72.24773669987917,o,0.053199600195512176,72.30691249994561,72.32096439995803,72.32096439995803,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
52,0,52,0,,,,,,,,,,,,,,,,,72.72667739982717,72.72667739982717,72.72667739982717,72.72667739982717,72.72667739982717,q,0.011212800163775682,72.7445234998595,72.75829549995251,72.75829549995251,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
53,0,53,0,,,,,,,,,,,,,,,,,73.16379929985851,73.16379929985851,73.16379929985851,73.16379929985851,73.16379929985851,q,0.025877700187265873,73.1959486999549,73.2099358998239,73.2099358998239,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
54,0,54,0,,,,,,,,,,,,,,,,,73.61542319995351,73.61542319995351,73.61542319995351,73.61542319995351,73.61542319995351,q,0.0342076001688838,73.65413489984348,73.66824260004796,73.66824260004796,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
55,0,55,0,,,,,,,,,,,,,,,,,74.07364239986055,74.07364239986055,74.07364239986055,74.07364239986055,74.07364239986055,q,0.006725100101903081,74.08479620004073,74.09870680002496,74.09870680002496,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
56,0,56,0,,,,,,,,,,,,,,,,,74.50467569986358,74.50467569986358,74.50467569986358,74.50467569986358,74.50467569986358,o,0.014412700198590755,74.52313779992983,74.53638980002142,74.53638980002142,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
57,0,57,0,,,,,,,,,,,,,,,,,74.94166020001285,74.94166020001285,74.94166020001285,74.94166020001285,74.94166020001285,o,0.008499500108882785,74.95984849985689,74.97374109993689,74.97374109993689,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
58,0,58,0,,,,,,,,,,,,,,,,,75.37897259998135,75.37897259998135,75.37897259998135,75.37897259998135,75.37897259998135,o,0.03797710011713207,75.42502069985494,75.43903260002844,75.43903260002844,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
59,0,59,0,,,,,0,0,0,0,,,,,,,,,75.84472039993852,75.84472039993852,75.84472039993852,75.84472039993852,75.84472039993852,w,0.4142827002797276,76.2652549999766,76.27932429988869,76.27932429988869,76.68246239982545,76.68246239982545,76.68246239982545,695 ,space,2.633074400248006,79.32819449994713,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
60,0,60,0,0,0,0,0,,,,,,,,,79.73176179989241,79.73176179989241,space,0.17609120020642877,,,,,,,,,,,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
60,0,60,0,,,,,,,,,,,,,,,,,79.92072289995849,79.92072289995849,79.92072289995849,79.92072289995849,79.92072289995849,q,0.4497970000375062,80.3766953998711,80.39064179989509,80.39064179989509,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
61,0,61,0,,,,,,,,,,,,,,,,,80.79603519989178,80.79603519989178,80.79603519989178,80.79603519989178,80.79603519989178,o,0.013517000246793032,80.81391309993342,80.82799489982426,80.82799489982426,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
62,0,62,0,,,,,,,,,,,,,,,,,81.2336683999747,81.2336683999747,81.2336683999747,81.2336683999747,81.2336683999747,o,0.03409660025499761,81.27227079984732,81.28616599994712,81.28616599994712,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
63,0,63,0,,,,,,,,,,,,,,,,,81.69164379988797,81.69164379988797,81.69164379988797,81.69164379988797,81.69164379988797,o,0.3331743001472205,82.02941789990291,82.04300389997661,82.04300389997661,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
64,0,64,0,,,,,,,,,,,,,,,,,82.44937000004575,82.44937000004575,82.44937000004575,82.44937000004575,82.44937000004575,o,0.013074400136247277,82.46692060003988,82.48098609992303,82.48098609992303,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
65,0,65,0,,,,,,,,,,,,,,,,,82.88606589986011,82.88606589986011,82.88606589986011,82.88606589986011,82.88606589986011,q,0.006707600085064769,82.89757499983534,,82.91116749984212,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
66,0,66,0,,,,,,,,,,,,,,,,,83.31638409988955,83.31638409988955,83.31638409988955,83.31638409988955,83.31638409988955,q,0.31130460021086037,83.6332540998701,83.64730279985815,83.64730279985815,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
67,0,67,0,,,,,,,,,,,,,,,,,84.05277629988268,84.05277629988268,84.05277629988268,84.05277629988268,84.05277629988268,p,0.013818100094795227,84.07089710002765,84.08488360000774,84.08488360000774,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
68,0,68,0,,,,,,,,,,,,,,,,,84.49024089984596,84.49024089984596,84.49024089984596,84.49024089984596,84.49024089984596,o,0.04379930021241307,84.54635549988598,84.55708339996636,84.55708339996636,,,,,,,,84.96269159996882,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
69,0,69,0,,,,,,,,,,,,,,,,,84.96269159996882,84.96269159996882,84.96269159996882,84.96269159996882,84.96269159996882,o,0.04511180007830262,85.01517140003853,85.02908069989644,85.02908069989644,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
70,0,70,0,,,,,,,,,,,,,,,,,85.43456540000625,85.43456540000625,85.43456540000625,85.43456540000625,85.43456540000625,o,0.021198100177571177,85.4666803998407,85.48060410004109,85.48060410004109,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
71,0,71,0,,,,,,,,,,,,,,,,,85.88619400002062,85.88619400002062,85.88619400002062,85.88619400002062,85.88619400002062,w,0.07877520006150007,85.97362899989821,85.98752139997669,85.98752139997669,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
72,0,72,0,,,,,,,,,,,,,,,,,86.39309929986484,86.39309929986484,86.39309929986484,86.39309929986484,86.39309929986484,o,0.010139400139451027,86.41155189997517,86.42511329986155,86.42511329986155,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
73,0,73,0,,,,,,,,,,,,,,,,,86.83054420002736,86.83054420002736,86.83054420002736,86.83054420002736,86.83054420002736,p,0.02085550012998283,86.85574439982884,86.86983529990539,86.86983529990539,,,,,,,,,sdfsdfdsfsddsfs,,2023-04-13_23h16.42.418,bandit task,2022.2.5,143.52782785333065,
,,,,,,,,,,,,,,,,,,,,87.27489839983173,87.27489839983173,87.27489839983173,87.27489839983173,87.27489839983173,,,,,,,,,,,,,,,,,,,,
